video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/ZNz5Xa-NRJM,/@rolandsmartin,Roland S. Martin,Black Culture's Value & The REAL US Immigration Truth #shorts,1K,11 hours,"Roland and his panel explores the richness of Black culture, challenges the idea of simple US immigration, and reveals how US ...",2026-01-22 01:01:28.980243
/shorts/qGmLuYLYB20,/@blackstarnetwork,Black Star Network,Black Culture's Value & The REAL US Immigration Truth #shorts,600,11 hours,"Roland and his panel explores the richness of Black culture, challenges the idea of simple US immigration, and reveals how US ...",2026-01-22 01:01:28.983832
/watch?v=ZjCIotdmoTo&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@drdafshow,Dr. Daf Show,African vs. African American Women | The Bridge,521K,4 months,"https://ForThePeople.com/dafshow If you're ever injured in an accident, you can check out Morgan & Morgan. You can start your ...",2026-01-22 01:01:28.985044
/watch?v=tbGjJn-XHXo&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@jubilee,Jubilee,Did Slavery Affect Your Family? Africans vs African Americans | Middle Ground,4.1M,3 years,... poverty among black people in the USA 10:52 hip hop reinforces stereotypes 13:24 the American dream is only for white people ...,2026-01-22 01:01:28.988523
/shorts/xWwc8lHQcHU,/@rolandsmartin,Roland S. Martin,"Black American Pride: Culture, Power, and Avoiding Oppression #shorts",3.6K,1 day,"Black American culture's global impact is undeniable. Pride is essential, but be aware of being used. Know your worth.",2026-01-22 01:01:28.989898
/watch?v=aIglwLXi2Lg&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@jubilee,Jubilee,What Do Black People Think About White People? | Spectrum,1.5M,2 years,SUBSCRIBE TO OUR NEW LOVE + DATING CHANNEL YouTube: https://www.youtube.com/@lovecommanectar Instagram: ...,2026-01-22 01:01:28.993351
/watch?v=x-9ijLU4k0s&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@CocoaButter,Cocoa Butter,Mexican vs Black: We Try Each Other's Tacos | Taste Wars,3M,8 months,"Your destination for Black culture and entertainment. We are timely, relevant, connected, and moving at the speed of culture.",2026-01-22 01:01:28.997849
/watch?v=Cqb_2DkK7h0&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@BETNetworks,BETNetworks,"The Origin Of ""Cool"": How Black Culture Embodies ""Cool"" & Influences Trends For Mainstream",69K,4 years,"""Black cool is something we live, mainstream cool is something you buy."" Black people are known to set the trends, be the ...",2026-01-22 01:01:28.999678
/shorts/9NNs4RR48OA,/@JenniferHudsonShow,Jennifer Hudson Show,Lights. Camera. PURPOSE. 🎬✨#WKKFPartner,11K,1 day,SUBSCRIBE Subscribe to “The Jennifer Hudson Show”: youtube.com/c/JenniferHudsonShow FOLLOW US Instagram: ...,2026-01-22 01:01:29.003139
/shorts/Po1-i8zr6Ks,/@rolandsmartin,Roland S. Martin,"Centering Black Pain, Honoring Culture: The Fight for Liberation #shorts",3.3K,1 day,Roland and his panel explores the importance of recognizing the historical trauma of African Americans. It challenges assimilation ...,2026-01-22 01:01:29.007476
/shorts/feVXb6i6AIc,/@SOC119,SOC 119,"""Black v. White Culture"" #SOC119 #WhiteCulture #BlackCulture #Race #RaceinAmerica",6.4K,1 year,Join us live on Tuesdays and Thursdays! Full Lecture Here! https://www.youtube.com/watch?v=2WA3zOoTNTI&t=3531s Class ...,2026-01-22 01:01:29.009370
/shorts/M3pWoy98t-c,/@2PointsHoops,2 Points Hoops,Black Culture's HUGE Influence on Hip-Hop & America: True Fan Confession #shorts,569,3 hours,"A podcast host details how Black culture and hip-hop have shaped his creative journey. From music to mindset, the impact is ...",2026-01-22 01:01:29.010746
/shorts/d2-KLbknm6I,/@jubilee,Jubilee,Amanda Seales addresses black culture in this heated debate #surrounded #culture #debate,154K,5 months,Hey you Wanna be in a Jubilee video? https://bit.ly/be-in-a-video LET'S BE FRIENDS Instagram: ...,2026-01-22 01:01:29.013256
/watch?v=AyQVg0sle24&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@BlackySpeakz,BlackySpeakz,Black Fatigue: Why We’re Tired of Ghetto Culture,743K,5 months,Covering the rise of “Black Fatigue” — this video dives into the frustration many Black people feel watching ghetto culture ...,2026-01-22 01:01:29.014610
