video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=2oWvBcqcv60&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@BlackBusinessFiles,Black Business Files,The One Drop Rule Shaped Black Identity,11K,1 year,"The ""one-drop rule"" is a social and legal principle primarily associated with the United States, stating that any person with even a ...",2026-01-22 01:02:53.357747
/watch?v=Zd1BC4WMouA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@art21org,Art21,Exploring Black Identity with Kerry James Marshall | Art21,74K,1 year,"Art21 proudly presents an artist segment, featuring Kerry James Marshall, from the ""Identity” episode in Season 1 of the ""Art in the ...",2026-01-22 01:02:53.359570
/watch?v=qhJ4pr-pzxA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@iamScottEvans,Scott Evans,Tyler Lepley on Discovering his Black Identity,175K,3 months,Neighbors! What is up?! My guy Tyler Lepley pulled up for one heck of a real conversation over some steak and potatoes! We got ...,2026-01-22 01:02:53.361364
/watch?v=L_Q5_xzZZtA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@AntonioSpeakss,Antonio Speaks,The Black American Identity Crisis,119K,4 months,The Black American Identity Crisis... Listen my melanated brothers and sisters. It is OK to just of African descent. Second Channel ...,2026-01-22 01:02:59.735878
/shorts/xA74mgq72oc,/@BCo.Shorts,B&Co. Shorts,Black Identity & Privilege: Are We Ready To Fight?,446,6 months,"Explore critical discussions on climate, Black identity, generational struggles, and the essence of privilege. We examine how ...",2026-01-22 01:02:59.737091
/watch?v=F1jvAsoa7HA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@VICE,VICE,Inside the FBI Hunt for “Black Identity Extremists”,1.5M,7 years,"According to a leaked FBI assessment, “Black Identity Extremists” are a new group of domestic terrorists who pose a serious and ...",2026-01-22 01:02:59.743636
/watch?v=9Kbj9PqLI0Q&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@TheConsciousLee,The Conscious Lee,Are Black People in Identity Crisis??,5.2K,Streamed 3 years,"Are we Hebrew, Moor, Aboriginal.",2026-01-22 01:02:59.744830
/watch?v=IuET5MN2TtU&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@manofsteeleproductions,Man of Steele Productions,Racial Identity in America | How Jack Became Black - Feature Documentary,2.3K,2 years,This groundbreaking documentary opens simply: a multiracial father is stunned when his mixed race son is denied enrollment to ...,2026-01-22 01:02:59.745881
/watch?v=f2B4Zn2N7kI&list=RDf2B4Zn2N7kI&start_radio=1&pp=ygUOYmxhY2sgaWRlbnRpdHmgBwE%3D,/channel/UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,Kodak Black - Identity Theft [Official Music Video],1.7M,5 months,Shot By - @WavylordVisuals @bennyflashh Follow Kodak Black https://twitter.com/KodakBlack1k ...,2026-01-22 01:02:59.747075
/watch?v=2W8UbecXZCA&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@CBCArts,CBC Arts,Black Identity in Contemporary Art,848,9 years,"Kenneth Montague is the founder of Wedge Curatorial Projects. In this video, he explains the importance of photographer Zun ...",2026-01-22 01:02:59.748164
/watch?v=W0UPTQCgGCE&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@therighteousacts3667,The Righteous Acts,HIDDEN IDENTITY OF BLACKS IN THE BIBLE,2.3M,10 years,Video On Vimeo https://vimeo.com/201067399.,2026-01-22 01:02:59.749373
/shorts/QdWXq4d2Kc0,/@AfricanCoreVideos,AfricanCore,Why Ignoring Black Identity Is Dangerous,650K,4 months,"Black people are not invisible—and African history proves it. For centuries, the idea of being “colorblind” has been used to claim ...",2026-01-22 01:02:59.751699
/watch?v=rXqcBsopimY&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@SeanTheBlack,SeanDaBlack,The Commodification of the Black Identity,165K,3 years,"From memes to millions and convicts to capital, it appears at every term that all aspects of the Black Identity are bastardized into a ...",2026-01-22 01:02:59.753397
/watch?v=6pQ07CHEhvw&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@CBCNews,CBC News,Artist's work looks to 'reconstruct' the Black identity,5.2K,5 years,Digital artist Kiki Symoné's work shows Black people doing everyday things — a way to counter stereotypes perpetuated by the ...,2026-01-22 01:02:59.754940
/watch?v=JzNj4eu2Ruw&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@DivineQueenMother,Divine Queen Mother,"Hidden History Part 1: The Truth About Black Americans, Indigenous Identity & Erased Lineage",2.1K,6 months,"Welcome to Part 1 of our Hidden History Series: where the lies end and the truth begins. In this episode, we uncover the roots of ...",2026-01-22 01:02:59.756045
/watch?v=8sT_WZa8H7I&list=RD8sT_WZa8H7I&start_radio=1&pp=ygUOYmxhY2sgaWRlbnRpdHmgBwE%3D,/channel/UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,Kodak Black - Identity Theft [Official Audio],10M,7 years,"""Kodak Black - Identity Theft [Official Audio] Stream/Download ""Dying to Live"" - https://Kodak.lnk.to/DyingToLive ...",2026-01-22 01:02:59.757509
